 FORECAST DATE (15050906) -- 3km
 TYPHOON - NOUL           PS
  0    15.010   125.193   973.766
  6    15.337   124.593   968.138
 12    15.990   124.125   967.289
 18    16.385   123.631   965.084
 24    17.332   123.258   963.489
 30    18.196   122.801   966.530
 36    19.331   122.440   970.695
 42    20.164   122.326   971.238
 48    21.184   122.769   969.579
 54    22.526   123.744   977.952
 60    24.417   125.440   976.831
 66    26.293   127.708   983.873
 72    28.373   131.109   984.327
 78    31.033   135.038   990.779
 84    32.206   136.864  1006.208
 90    32.130   140.650  1010.635
 96    32.404   138.972  1011.731
102    32.404   138.972  1011.731
108    32.404   138.972  1011.731
114    32.404   138.972  1011.731
120    32.404   138.972  1011.731
best
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
