 FORECAST DATE (15050812) --15km
 TYPHOON - NOUL           PS
  0    13.069   127.999   967.072
  6    13.856   127.218   976.552
 12    14.380   125.899   978.162
 18    14.577   124.923   975.705
 24    14.726   124.228   970.443
 30    15.253   123.454   971.245
 36    15.663   122.611   974.837
 42    16.246   121.838   983.632
 48    17.581   120.832   999.520
 54    18.156   119.822   996.667
 60    18.894   119.811   996.328
 66    19.537   119.843   994.225
 72    20.895   120.808   989.572
 78    22.072   121.923   988.591
 84    22.929   123.180   996.912
 90    23.737   125.186   993.333
 96    24.154   126.463  1000.695
102    25.511   129.439   999.438
108    25.621   131.503  1001.366
114    25.738   133.809  1003.298
120    26.543   135.510  1010.117
 FORECAST DATE (15050818) --15km
 TYPHOON - NOUL           PS
  0    13.870   127.150   970.763
  6    14.236   126.120   972.333
 12    14.823   125.179   976.585
 18    15.186   124.325   980.684
 24    15.548   123.400   980.229
 30    16.436   122.735   985.923
 36    17.206   121.742   994.460
 42    17.873   120.444  1000.358
 48    19.118   120.333   997.775
 54    19.550   120.189   994.260
 60    20.676   120.506   984.447
 66    21.650   121.394   986.541
 72    23.010   122.896   986.321
 78    24.794   125.035   986.622
 84    26.144   127.719   992.219
 90    27.768   131.404   997.770
 96    29.965   135.591  1001.165
102    32.557   140.584  1002.107
108    33.007   141.409  1001.078
114    33.007   141.409  1001.078
120    35.358   140.799  1007.078
 FORECAST DATE (15050900) --15km
 TYPHOON - NOUL           PS
  0    14.155   126.187   970.527
  6    15.079   125.227   973.561
 12    15.295   124.472   975.719
 18    15.690   124.115   964.742
 24    16.128   123.684   968.011
 30    16.984   123.089   966.938
 36    17.777   122.366   979.174
 42    18.463   121.471   982.751
 48    18.932   121.116   987.590
 54    19.714   121.128   984.018
 60    20.553   121.673   984.635
 66    22.045   122.896   993.086
 72    23.348   123.962   993.967
 78    24.265   125.627   994.735
 84    24.943   127.333   996.542
 90    25.596   129.669   999.977
 96    27.353   133.145  1002.788
102    28.304   136.345  1000.951
108    29.422   139.529  1004.976
114    30.704   141.264  1005.181
120    31.908   144.023  1010.389
 FORECAST DATE (15050906) --15km
 TYPHOON - NOUL           PS
  0    14.966   125.215   965.631
  6    15.499   124.505   972.542
 12    15.897   123.945   970.865
 18    16.540   123.477   975.797
 24    17.369   122.891   975.506
 30    18.248   122.324   984.235
 36    18.786   121.718   986.016
 42    19.660   121.957   978.537
 48    20.705   122.247   975.978
 54    22.078   123.096   986.150
 60    23.635   124.470   986.177
 66    25.395   126.499   990.488
 72    27.175   129.228   989.899
 78    29.912   133.756   997.666
 84    32.035   137.510   995.743
 90    36.079   140.636   996.957
 96    39.161   146.926   995.379
102    41.206   148.147   996.213
108    41.206   148.147   996.213
114    41.206   148.147   996.213
120    46.429   146.952   994.567
best
       13.4     128.0       15050812 
       13.9     127.2       15050818 
       14.3     126.4       15050900 
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
