 FORECAST DATE (16070300)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
 84    18.753   120.609   960.568    40.839    15.248
 90    18.594   119.990   956.117    43.902    11.266
 96    18.880   119.858   961.725    42.020     5.772
102    19.203   119.808   961.420    42.541     5.988
108    19.825   120.032   963.747    39.148    12.161
114    20.786   119.989   962.197    39.862    17.779
120    21.293   120.381   960.329    41.670    11.575
 FORECAST DATE (16070406)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    12.700   140.800   995.000  -999.000  -999.000
  6    12.733   139.680  -999.000  -999.000    20.249
 12    13.204   138.772  -999.000  -999.000    18.551
 18    14.005   137.449  -999.000  -999.000    28.058
 24    14.794   136.374  -999.000  -999.000    24.199
 30    15.533   134.917  -999.000  -999.000    29.416
 36    16.712   133.240   982.084    36.742    36.978
 42    17.851   131.354   984.238    34.933    39.448
 48    18.395   129.245   971.482    39.584    38.460
 54    18.992   127.361   966.002    41.739    34.848
 60    19.559   125.829   958.412    44.691    28.768
 66    20.076   124.344   956.749    45.026    27.595
 72    20.452   123.075   951.641    45.652    23.119
 78    20.848   122.437   951.723    43.714    13.273
 84    21.611   122.127   949.766    46.494    15.094
 90    23.104   121.558   963.755    41.661    29.323
 96    24.563   120.266   978.022    26.109    34.787
102    24.471   119.957   979.868    21.656     5.494
108    25.560   120.095   979.326    23.083    20.310
114    26.543   120.200   981.879    21.659    18.304
120    27.083   120.520   980.626    23.174    11.297
 FORECAST DATE (16070412)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    13.300   139.700   990.000  -999.000  -999.000
  6    13.881   138.240  -999.000  -999.000    28.397
 12    14.731   137.083  -999.000  -999.000    26.051
 18    15.479   135.756  -999.000  -999.000    27.471
 24    16.292   134.115  -999.000  -999.000    32.873
 30    17.277   132.520   982.020    33.401    33.645
 36    18.273   130.947   977.937    35.839    33.305
 42    19.144   129.094   967.068    41.270    36.299
 48    19.890   127.416   959.953    45.439    32.379
 54    20.534   125.706   953.672    46.411    32.040
 60    21.133   124.023   952.381    47.677    31.175
 66    21.419   122.586   947.534    45.580    25.372
 72    21.789   121.772   953.399    44.932    15.588
 78    22.431   121.156   967.525    40.864    15.927
 84    23.694   120.028   984.054    23.462    30.280
