 FORECAST DATE (16070300) --15km
 TYPHOON - NEPARTAK        PS
 66    17.438   126.872   946.096    47.246    18.335     1.000
 72    17.971   126.128   946.698    46.890    16.421     1.000
 78    18.970   125.631   943.947    47.662    20.465     1.000
 84    20.189   124.802   947.274    44.395    26.823     1.000
 90  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
 96  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
108  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (16070406)  WD01    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)  Domain
  0    14.738   139.717   998.499  -999.000  -999.000     1.000
  6    14.192   137.692  1004.503    23.393    37.719     1.000
 12    13.836   136.363  1002.715    16.396    24.755     1.000
 18    13.883   136.451  1002.833    19.379     0.895     1.000
 24    15.094   135.570  1000.046    21.020    27.440     1.000
 30    16.169   133.948   998.946    24.877    35.126     1.000
 36    16.417   131.959   994.544    20.101    35.651     1.000
 42    17.200   130.646   994.256    23.204    27.440     1.000
 48    17.711   128.675   986.467    25.132    36.083     1.000
 54    18.197   127.119   981.334    31.951    28.860     1.000
 60    18.343   125.656   971.913    31.804    25.866     1.000
 66    18.592   124.501   966.465    38.384    20.804     1.000
 72    18.642   123.536   948.993    47.529    16.977     1.000
 78    19.162   123.205   951.332    44.870    11.235     1.000
 84    19.914   122.562   948.650    46.182    17.872     1.000
 90  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
 96  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
108  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (16070412)  WD01    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)  Domain
  0    13.720   141.600   999.526    28.654  -999.000     1.000
  6    15.055   139.342   998.103    28.861    47.473     1.000
 12    15.847   137.303  1001.008    26.337    39.232     1.000
 18    16.589   135.875   999.126    23.543    28.891     1.000
 24    17.242   134.304   996.601    27.399    30.342     1.000
 30    18.483   132.373   995.930    28.659    41.084     1.000
 36    18.899   130.697   990.224    28.030    30.373     1.000
 42    19.368   129.300   984.034    31.964    25.928     1.000
 48    20.318   127.818   975.216    35.683    31.237     1.000
 54    20.956   126.256   970.893    35.213    29.539     1.000
 60    21.649   124.876   964.639    40.122    27.070     1.000
 66    22.236   123.505   954.017    45.695    25.928     1.000
 72    22.847   122.645   955.146    44.699    18.582     1.000
 78    23.494   121.449   977.759    32.074    23.644     1.000
 84    23.774   120.293   984.750    23.839    20.279     1.000
 90    23.739   120.122   982.053    28.107     2.994     1.000
 96    24.751   120.387   982.525    30.806    19.261     1.000
102    25.933   120.382   976.177    32.383    21.915     1.000
108    26.519   120.054   979.948    29.661    12.131     1.000
114    27.137   120.475   979.701    26.788    13.396     1.000
120    28.504   121.248   981.603    25.996    28.305     1.000
 FORECAST DATE (16070418)  WD01    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)  Domain
  0    14.675   138.204   988.602    29.227  -999.000     1.000
  6    15.555   136.819   987.464    33.265    29.632     1.000
 12    16.606   135.487   987.677    31.430    30.651     1.000
 18    17.504   134.011   982.000    33.646    30.990     1.000
 24    18.471   132.570   980.369    34.184    31.052     1.000
 30    19.426   130.877   977.779    33.516    34.540     1.000
 36    20.504   129.100   962.408    41.522    36.824     1.000
 42    21.414   127.497   956.069    46.838    32.441     1.000
 48    22.311   125.964   952.954    46.205    31.144     1.000
 54    23.127   124.582   946.890    50.859    28.027     1.000
 60    23.911   123.417   946.399    47.091    24.539     1.000
 66    24.705   122.279   954.411    45.545    24.199     1.000
 72    24.748   120.950   975.788    34.099    22.378     1.000
 78    24.923   120.407   975.061    32.951     9.692     1.000
 84    25.099   119.734   973.857    30.094    11.760     1.000
 90  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
 96  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
108  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (16070500)  WD01    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)  Domain
  0    15.101   135.341   989.577    31.259  -999.000     1.000
  6    15.464   135.021   987.739    29.465     8.828     1.000
 12    16.531   133.926   985.046    32.596    27.749     1.000
 18    17.611   132.511   979.615    33.782    32.040     1.000
 24    18.592   130.944   977.578    34.532    33.027     1.000
 30    19.538   129.191   966.885    43.825    35.311     1.000
 36    20.211   127.412   957.495    47.778    33.398     1.000
 42    20.756   125.885   952.589    48.734    28.336     1.000
 48    21.299   124.576   950.310    49.490    24.786     1.000
 54    21.491   123.401   937.558    51.327    20.557     1.000
 60    21.742   122.752   939.866    51.105    12.100     1.000
 66    22.104   122.072   947.317    46.214    13.489     1.000
 72    22.782   120.761   972.685    32.699    25.712     1.000
 78    23.503   120.453   975.940    30.369    14.353     1.000
