17091712    number of typhoons=  1
number =  1 typh-name= TALIM          
000  34.500 134.600  34.500 134.600  34.500 134.600  34.500 134.600  34.500 134.600
006 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999
012 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999 -99.999
018 -99.999 -99.999  44.066 140.944  44.066 140.838  44.213 140.271  44.179 139.627
024  45.998 141.518  45.843 142.397  45.836 142.453  45.580 142.282  45.654 142.273
030 -99.999 -99.999  47.790 144.514  47.797 144.471  48.026 144.471  47.937 144.165
036  49.325 145.288  49.436 145.231  49.425 145.233  49.401 145.192  49.362 145.038
042  50.872 146.554  50.810 146.304  50.819 146.276  50.812 146.458  51.001 146.312
048  51.950 146.436  51.953 146.441  51.936 146.441  52.056 146.351  52.003 146.204
054  52.577 146.164  52.617 146.144  52.612 146.150  52.603 146.060  52.518 146.168
060  52.920 146.035  52.924 145.971  52.930 145.957  52.897 146.003  52.953 145.998
066  53.304 145.956  53.268 145.951  53.279 145.934  53.311 145.951  53.329 146.014
072  53.522 146.227  53.523 146.223  53.528 146.211  53.503 146.210  53.681 146.248
078  54.101 146.945  54.107 146.895  54.113 146.892  54.053 146.956  54.341 146.880
084  54.965 147.721  54.991 147.634  55.006 147.621  54.926 147.723  55.281 147.548
090  56.123 148.576  56.240 148.336  56.274 148.348  56.130 148.659  56.606 148.061
096  57.663 149.552  57.742 149.241  57.767 149.228  57.817 149.575 -99.999 -99.999
102  59.509 150.600  59.374 150.021  59.462 149.985  59.409 150.626 -99.999 -99.999
108  61.445 151.910  61.839 151.212 -99.999 -99.999  62.616 152.080 -99.999 -99.999
114  64.771 153.748  64.793 152.903  64.846 151.930  64.727 152.439  61.971 140.622
120  66.200 152.816  66.452 154.286  66.475 153.721  66.437 152.752 -99.999 -99.999
