17091212    number of typhoons=  2
number =  1 typh-name= DOKSURI        
000  14.000 119.000  14.000 119.000  14.000 119.000  14.000 119.000  14.000 119.000
006  10.676 115.875  14.428 118.148  10.676 115.875  10.676 115.875  10.676 115.875
number =  2 typh-name= TALIM          
000  22.900 127.800  22.900 127.800  22.900 127.800  22.900 127.800  22.900 127.800
006  19.667 124.500  23.368 127.052  19.667 124.500  19.667 124.500  19.667 124.500
