17091800    number of typhoons=  1
number =  1 typh-name= TALIM          
000  41.100 139.500  41.100 139.500  41.100 139.500  41.100 139.500  41.100 139.500
006  35.401 134.250  43.842 141.700  35.401 134.250  35.401 134.250  35.401 134.250
